نَجْمُ	,a star
ذَهَبْتُ إلَى الدُكَانْ	,i went to the store
ما used?,	for objects and things is used?
مَرِيْضُ	,not feeling well
مَنْ used?,	for someone with an intellect we use?
وَالمَرِيْضُ قَصِيْرُ	,and the patient / sick person is short
مَرْيَمَ	,Maryam
الَّتِى	,The one who
كَانَتْ	,Was
رَبُّهَا	,her Lord
عِمْرَنَ	,Imran
لَيْسَ	,Not
الْعَلِيمُ	,The All Knowing
قَالَتْ	,She said
إِنِّئ	,Certainly I
الشَّيْطَنَ	,Shaytan
حَسَنٍ	,good
زَكَرِيَّا	,Zakariyya
